iter	Passed	Remaining
435	1346	1742
436	1351	1741
437	1354	1737
438	1356	1732
439	1358	1728
440	1360	1724
441	1362	1720
442	1366	1717
443	1369	1715
444	1371	1710
445	1373	1706
446	1375	1702
447	1377	1697
448	1380	1693
449	1385	1693
450	1387	1688
451	1389	1684
452	1391	1679
453	1393	1675
454	1395	1671
455	1400	1670
456	1402	1666
457	1404	1662
458	1406	1657
459	1408	1653
460	1410	1649
461	1412	1645
462	1417	1644
463	1419	1640
464	1421	1635
465	1423	1631
466	1425	1627
467	1428	1623
468	1432	1622
469	1434	1618
470	1436	1613
471	1438	1609
472	1441	1605
473	1443	1601
474	1446	1598
475	1449	1595
476	1451	1591
477	1453	1587
478	1455	1583
479	1457	1579
480	1459	1575
481	1462	1571
482	1464	1567
483	1466	1563
484	1468	1559
485	1470	1555
486	1473	1551
487	1475	1547
488	1477	1544
489	1482	1542
490	1484	1538
491	1486	1534
492	1488	1530
493	1490	1526
494	1492	1522
495	1496	1520
496	1498	1516
497	1500	1512
498	1502	1508
499	1504	1504
500	1506	1500
501	1508	1496
502	1512	1494
503	1514	1490
504	1516	1486
505	1518	1482
506	1520	1478
507	1522	1474
508	1525	1471
509	1528	1468
510	1530	1464
511	1532	1460
512	1534	1456
513	1536	1453
514	1538	1449
515	1540	1445
516	1544	1442
517	1546	1439
518	1548	1435
519	1550	1431
520	1552	1427
521	1554	1423
522	1557	1420
523	1559	1416
524	1561	1412
525	1563	1408
526	1565	1405
527	1567	1401
528	1569	1397
529	1571	1393
530	1575	1391
531	1577	1387
532	1579	1383
533	1581	1380
534	1583	1376
535	1585	1372
536	1587	1368
537	1590	1365
538	1593	1363
539	1595	1359
540	1597	1355
541	1599	1351
542	1601	1348
543	1603	1344
544	1607	1342
545	1610	1339
546	1612	1335
547	1615	1332
548	1617	1328
549	1619	1324
550	1621	1321
551	1626	1319
552	1628	1316
553	1630	1312
554	1632	1308
555	1634	1305
556	1636	1301
557	1640	1299
558	1643	1296
559	1645	1292
560	1647	1288
561	1649	1285
562	1651	1281
563	1653	1278
564	1657	1276
565	1659	1272
566	1661	1269
567	1663	1265
568	1665	1261
569	1667	1258
570	1671	1255
571	1674	1253
572	1676	1249
573	1678	1245
574	1680	1242
575	1683	1238
576	1685	1235
577	1689	1233
578	1691	1230
579	1693	1226
580	1695	1223
581	1697	1219
582	1699	1215
583	1703	1213
584	1707	1211
585	1709	1207
586	1711	1204
587	1713	1200
588	1715	1197
589	1717	1193
590	1722	1192
591	1724	1188
592	1726	1185
593	1728	1181
594	1731	1178
595	1733	1174
596	1737	1172
597	1739	1169
598	1741	1165
599	1743	1162
600	1745	1158
601	1747	1155
602	1749	1152
603	1755	1151
604	1758	1147
605	1760	1144
606	1762	1140
607	1764	1137
608	1766	1133
609	1770	1132
610	1772	1128
611	1774	1125
612	1776	1121
613	1778	1118
614	1780	1114
615	1782	1111
616	1787	1109
617	1789	1106
618	1791	1102
619	1793	1099
620	1795	1095
621	1797	1092
622	1801	1090
623	1804	1087
624	1806	1083
625	1808	1080
626	1810	1077
627	1812	1073
628	1814	1070
629	1818	1067
630	1820	1064
631	1822	1061
632	1824	1057
633	1826	1054
634	1828	1051
635	1830	1047
636	1834	1045
637	1836	1042
638	1838	1038
639	1840	1035
640	1842	1032
641	1844	1028
642	1846	1025
643	1850	1023
644	1852	1019
645	1854	1016
646	1857	1013
647	1859	1009
648	1861	1006
649	1863	1003
650	1867	1000
651	1869	997
652	1871	994
653	1873	990
654	1875	987
655	1877	984
656	1879	981
657	1882	978
658	1884	975
659	1887	972
660	1889	968
661	1891	965
662	1893	962
663	1895	959
664	1899	957
665	1901	953
666	1903	950
667	1905	947
668	1908	944
669	1910	940
670	1912	937
671	1916	935
672	1918	932
673	1920	928
674	1922	925
675	1924	922
676	1926	919
677	1929	916
678	1933	914
679	1935	911
680	1937	907
681	1939	904
682	1941	901
683	1944	898
684	1948	895
685	1950	892
686	1952	889
687	1954	886
688	1957	883
689	1959	880
690	1965	878
691	1967	875
692	1969	872
693	1971	869
694	1973	866
695	1975	862
696	1980	861
697	1982	857
698	1984	854
699	1986	851
700	1988	848
701	1990	845
702	1993	842
703	1998	840
704	2000	837
705	2002	834
706	2004	830
707	2006	827
708	2009	824
709	2013	822
710	2015	819
711	2017	816
712	2019	812
713	2021	809
714	2023	806
715	2027	804
716	2030	801
717	2032	798
718	2034	794
719	2036	791
720	2038	788
721	2040	785
722	2044	783
723	2047	780
724	2049	777
725	2051	774
726	2053	771
727	2056	768
728	2061	766
729	2063	763
730	2065	759
731	2066	756
732	2069	753
733	2071	750
734	2073	747
735	2078	745
