iter	RMSE
339	4.090040267
340	4.088694793
341	4.087484853
342	4.086249741
343	4.085307203
344	4.084434245
345	4.083411967
346	4.081897958
347	4.080642013
348	4.079498069
349	4.078872515
350	4.078163783
351	4.077277094
352	4.07578087
353	4.074684263
354	4.074048406
355	4.072490721
356	4.071432902
357	4.070450798
358	4.069678773
359	4.068524603
360	4.067177427
361	4.066565641
362	4.065086417
363	4.064279983
364	4.062881953
365	4.062016529
366	4.060985502
367	4.059642041
368	4.058034116
369	4.057015829
370	4.056236896
371	4.054955523
372	4.054040484
373	4.0531164
374	4.052221205
375	4.051429845
376	4.050561505
377	4.049458114
378	4.048887801
379	4.048045672
380	4.047280279
381	4.046719318
382	4.045247596
383	4.044660258
384	4.043252543
385	4.042104997
386	4.041548227
387	4.040601804
388	4.039411215
389	4.038674823
390	4.037875789
391	4.036898191
392	4.036178124
393	4.034888942
394	4.034008575
395	4.033317988
396	4.032598076
397	4.031883483
398	4.030418742
399	4.029801717
400	4.029341415
401	4.028716566
402	4.028315504
403	4.027647371
404	4.027135996
405	4.026293437
406	4.025771731
407	4.024633867
408	4.023805178
409	4.023382256
410	4.022726695
411	4.02202776
412	4.021401051
413	4.020745953
414	4.019749492
415	4.019093966
416	4.01863606
417	4.018200123
418	4.017538945
419	4.017030621
420	4.01632026
421	4.015463468
422	4.015146377
423	4.014452754
424	4.013912665
425	4.013520833
426	4.012624707
427	4.011959266
428	4.011667157
429	4.01080631
430	4.010184425
431	4.009517353
432	4.008794874
433	4.007586811
434	4.006981305
435	4.006181193
436	4.005807533
437	4.00522747
438	4.004890122
439	4.004163678
440	4.003555122
441	4.002924412
442	4.002554144
443	4.001941625
444	4.0013563
445	4.000595493
446	4.000118083
447	3.999548751
448	3.999033718
449	3.998448487
450	3.997931709
451	3.997368679
452	3.997014137
453	3.996486575
454	3.995977583
455	3.995014253
456	3.994559186
457	3.993717862
458	3.993179662
459	3.99283863
460	3.992345636
461	3.991695844
462	3.991140579
463	3.990007697
464	3.989565923
465	3.989148909
466	3.988766052
467	3.98837757
468	3.987210405
469	3.986735124
470	3.986240417
471	3.985939146
472	3.985520482
473	3.985287822
474	3.984678006
475	3.984326871
476	3.983345422
477	3.982516052
478	3.982164148
479	3.981687268
480	3.980658641
481	3.980416078
482	3.97943133
483	3.979100941
484	3.97857968
485	3.978388546
486	3.978118595
487	3.977688114
488	3.977207594
489	3.976671306
490	3.976121828
491	3.975632804
492	3.975315085
493	3.97481771
494	3.973875594
495	3.973491098
496	3.972592562
497	3.972145
498	3.972015968
499	3.971648572
500	3.971165397
501	3.970724518
502	3.970447239
503	3.9701421
504	3.969995008
505	3.969636577
506	3.969313706
507	3.968372624
508	3.967666334
509	3.966854188
510	3.966632426
511	3.966181218
512	3.965284553
513	3.965023724
514	3.96460798
515	3.96425741
516	3.964028359
517	3.963422105
518	3.963088306
519	3.962392526
520	3.961882364
521	3.961770531
522	3.961580567
523	3.961172466
524	3.961007835
525	3.96060849
526	3.960083708
527	3.959742344
528	3.959474183
529	3.959162622
530	3.958946817
531	3.958613043
532	3.957640097
533	3.957111378
534	3.956729665
535	3.955878911
536	3.955357131
537	3.955189782
538	3.9542223
539	3.95405939
540	3.953873915
541	3.953457271
542	3.952661428
543	3.952086517
544	3.951325407
545	3.950960472
546	3.950778727
547	3.950448744
548	3.950294005
549	3.950058564
550	3.949708163
551	3.949293419
552	3.948972135
553	3.948596969
554	3.948032403
555	3.947938328
556	3.947418042
557	3.947176337
558	3.946794864
559	3.946250005
560	3.945914098
561	3.945238014
562	3.944750485
563	3.944300055
564	3.944077289
565	3.943709609
566	3.943234362
567	3.942929231
568	3.942726159
569	3.942380477
570	3.94203056
571	3.94169786
572	3.941363524
573	3.941091135
574	3.940698021
575	3.940098095
576	3.939581633
577	3.939411547
578	3.939305491
579	3.938933339
580	3.938284556
581	3.93801049
582	3.937718892
583	3.937188642
584	3.936764609
585	3.936265037
586	3.935930347
587	3.93550573
588	3.934847783
589	3.934526071
590	3.934228542
591	3.933625512
592	3.933455687
593	3.933160387
594	3.932956514
595	3.932700823
596	3.932120834
597	3.931832834
598	3.931647987
599	3.93125724
600	3.930944768
601	3.930812547
602	3.930429895
603	3.930224205
604	3.929662517
605	3.929375552
606	3.92926724
607	3.928931394
608	3.928768449
609	3.928623733
610	3.928286297
611	3.92788703
612	3.927694961
613	3.927262744
614	3.927046363
615	3.926775003
616	3.92646933
617	3.926351187
618	3.926174139
619	3.925966282
620	3.925550263
621	3.925391766
622	3.925096002
623	3.924981894
624	3.924552872
625	3.924345809
626	3.92375483
627	3.923644259
628	3.923561199
629	3.923421417
630	3.923099746
631	3.922718441
632	3.922642527
633	3.922374243
634	3.921909971
635	3.921626625
636	3.921049378
637	3.920538597
638	3.920028915
639	3.919652472
640	3.919456243
641	3.919071367
642	3.918596741
643	3.918324321
644	3.918235464
645	3.917941324
646	3.917746123
647	3.917554416
648	3.917418588
649	3.917273638
650	3.916790726
651	3.916525336
652	3.916009957
653	3.915428548
654	3.915064164
655	3.9146312
656	3.914428217
657	3.914115007
658	3.91373301
659	3.913470966
660	3.913208645
661	3.913138124
662	3.912741684
663	3.912560092
664	3.912084818
665	3.911952094
666	3.911763845
667	3.911506484
668	3.911412702
669	3.911090721
670	3.910743453
671	3.910339379
672	3.91011213
673	3.910022558
674	3.909885181
675	3.909597713
676	3.909338221
677	3.909070074
678	3.908864091
679	3.908469601
680	3.90823937
681	3.908071502
682	3.907834975
683	3.907595807
684	3.907419662
685	3.907329747
686	3.907152622
687	3.906921215
688	3.906814882
689	3.906642402
690	3.906411166
691	3.906312874
692	3.905962383
693	3.905716269
694	3.905592871
695	3.905346732
696	3.905190033
697	3.905040232
698	3.904901864
699	3.904646221
700	3.904510149
701	3.904350735
702	3.90409091
703	3.903849816
704	3.903778272
705	3.903702021
706	3.903470646
707	3.903368649
708	3.903294669
709	3.903051885
710	3.902821025
711	3.902570093
712	3.902005507
713	3.901921863
714	3.901564806
715	3.901272995
716	3.901055374
717	3.900814308
718	3.900645294
719	3.900564991
720	3.900225868
721	3.899916281
722	3.899736161
723	3.899630786
724	3.899233611
725	3.898991971
726	3.898869476
727	3.898466223
728	3.898332304
729	3.897909785
730	3.897705186
731	3.89737682
732	3.897169594
733	3.897031875
734	3.896647517
735	3.89643975
736	3.896373205
737	3.896172226
738	3.896036061
739	3.895961685
740	3.895909737
741	3.895655705
742	3.895343673
743	3.895136919
744	3.894916249
745	3.894759264
746	3.894676412
747	3.894564729
748	3.894435937
749	3.894354905
750	3.894279932
751	3.894218824
752	3.894072841
753	3.893842806
754	3.893718317
755	3.89359111
756	3.893205983
757	3.892937774
758	3.89284166
759	3.892655618
760	3.892493082
761	3.892388884
762	3.892290738
763	3.892194293
764	3.892110179
765	3.891903233
766	3.891832064
767	3.891534684
768	3.891349769
769	3.891273395
770	3.890955321
771	3.890784809
772	3.890624197
773	3.890264103
774	3.89007353
775	3.889843163
776	3.889747595
777	3.889664992
778	3.889391178
779	3.889223696
780	3.889143803
781	3.888841477
782	3.88870005
783	3.888579628
784	3.888526623
785	3.888335817
786	3.888267248
787	3.8881574
788	3.888063232
789	3.887998566
790	3.887847922
791	3.887577283
792	3.887513575
793	3.887321582
794	3.887143698
795	3.887092105
796	3.886837383
797	3.886735017
798	3.886666846
799	3.886329647
800	3.886039916
801	3.88582395
802	3.885553855
803	3.885385304
804	3.885203678
805	3.884925056
806	3.884696762
807	3.884649037
808	3.884321828
809	3.884250932
810	3.884178794
811	3.883950132
812	3.883854283
813	3.883765613
814	3.883689669
815	3.883390164
816	3.883276465
817	3.88324064
818	3.883076131
819	3.882902794
820	3.882853822
821	3.882718032
822	3.882636737
823	3.882419444
824	3.882319691
825	3.882070751
826	3.881858856
827	3.881795798
828	3.881634299
829	3.881560327
830	3.881440838
831	3.881381176
832	3.881123853
833	3.880931835
834	3.880870107
835	3.880779391
836	3.880600698
837	3.880404085
838	3.88029352
839	3.880127464
840	3.87996921
841	3.879911439
842	3.879818351
843	3.879656304
844	3.879313616
845	3.879152599
846	3.878922465
847	3.878783977
848	3.878705585
849	3.87858493
850	3.87850892
851	3.878449976
852	3.878093913
853	3.87796424
854	3.877809831
855	3.87771045
856	3.877645985
857	3.877473397
858	3.87730084
859	3.877242531
860	3.877186125
861	3.877103465
862	3.877029828
863	3.876706314
864	3.876543199
865	3.876407652
866	3.876212249
867	3.875947221
868	3.875807569
869	3.875652308
870	3.875465601
871	3.875411035
872	3.875231533
873	3.875117276
874	3.874915542
875	3.874865041
876	3.874627358
877	3.874474134
878	3.874334466
879	3.874193722
880	3.87403811
881	3.873859622
882	3.873644626
883	3.873391293
884	3.873270853
885	3.873063437
886	3.873005489
887	3.872819334
888	3.872582557
889	3.872519923
890	3.872378396
891	3.872248512
892	3.872050296
893	3.871876704
894	3.871829399
895	3.871691678
896	3.871483933
897	3.87128099
898	3.871154394
899	3.871060203
900	3.871027192
901	3.870878956
902	3.870828795
903	3.870702004
904	3.870621996
905	3.870577861
906	3.870416135
907	3.870376993
908	3.870251203
909	3.870174749
910	3.870029012
911	3.869945202
912	3.869807747
913	3.86974681
914	3.869699349
915	3.869577929
916	3.869428435
917	3.869389559
918	3.869326609
919	3.869105542
920	3.86908666
921	3.868934141
922	3.868827471
923	3.868698735
924	3.86856781
925	3.868439886
926	3.868362768
927	3.868234631
928	3.86818722
929	3.868035742
930	3.867916884
931	3.867873142
932	3.867752629
933	3.867647257
934	3.867536393
935	3.867419721
936	3.867195741
937	3.86712488
938	3.867062828
939	3.8667708
940	3.866696054
941	3.866648074
942	3.866445784
943	3.866399371
944	3.866266683
945	3.866239774
946	3.86600113
947	3.865955908
948	3.865838135
949	3.865724759
950	3.865675447
951	3.865558016
952	3.865290279
953	3.86513794
954	3.865116175
955	3.865003884
956	3.864925651
957	3.86484109
958	3.864672574
959	3.86457113
960	3.864454027
961	3.86441673
962	3.864311144
963	3.864090918
964	3.86395289
965	3.863873785
966	3.863796025
967	3.863659706
968	3.863513934
969	3.863394046
970	3.863346515
971	3.863219374
972	3.862958645
973	3.862882591
974	3.862829804
975	3.862784471
976	3.86273666
977	3.862545334
978	3.862424906
979	3.862303202
980	3.862247808
981	3.862141911
982	3.861920271
983	3.861670755
984	3.861567469
985	3.861454159
986	3.861260471
987	3.861205267
988	3.861098369
989	3.860993096
990	3.860748615
991	3.860649378
992	3.860542664
993	3.860496874
994	3.860214139
995	3.860168917
996	3.860088693
997	3.860003226
998	3.859905813
999	3.859867488
